Country,Collection,WGS84 N,WGS84 E,Species,Time
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.44892,29.878321,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-01 [13:00-14:20]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.44892,29.878321,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-01 [13:00-14:20]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.44892,29.878321,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-01 [13:00-14:20]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.44892,29.878321,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-01 [13:00-14:20]
Suomi,Finnish Insect Database,62.319658,29.649202,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-01
Suomi,Finnish Insect Database,62.890845,27.615972,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-01
Suomi,Finnish Insect Database,61.877303,28.992982,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-01
Suomi,Finnish Insect Database,61.787626,28.987172,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-01
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.162963,28.683186,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-31 [13:25-14:15]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.162963,28.683186,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-31 [13:25-14:15]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.162963,28.683186,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-31 [13:25-14:15]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.162963,28.683186,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-31 [13:25-14:15]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.162963,28.683186,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-31 [13:25-14:15]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.162963,28.683186,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-31 [13:25-14:15]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.162963,28.683186,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-31 [13:25-14:15]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.162963,28.683186,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-31 [13:25-14:15]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.322732,24.500428,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-31 [15:15-16:35]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.322732,24.500428,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-31 [15:15-16:35]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.322732,24.500428,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-31 [15:15-16:35]
Suomi,Finnish Insect Database,62.319658,29.649202,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-31
Suomi,Finnish Insect Database,60.324679,24.498899,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-31
Suomi,Finnish Insect Database,61.16336,28.687494,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-31
Suomi,Finnish Insect Database,62.890845,27.615972,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-31
Suomi,Finnish Insect Database,62.056654,29.00472,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-31
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.962909,28.626808,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-30 [12:35-14:10]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.962909,28.626808,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-30 [12:35-14:10]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.962909,28.626808,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-30 [12:35-14:10]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.962909,28.626808,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-30 [12:35-14:10]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.962909,28.626808,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-30 [12:35-14:10]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.508811,27.76892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-30 [11:35-13:50]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.508811,27.76892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-30 [11:35-13:50]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.508811,27.76892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-30 [11:35-13:50]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.508811,27.76892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-30 [11:35-13:50]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.508811,27.76892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-30 [11:35-13:50]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.508811,27.76892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-30 [11:35-13:50]
Suomi,Finnish Insect Database,62.482764,27.764631,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-30
Suomi,Finnish Insect Database,62.936714,28.621334,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-30
Suomi,Finnish Insect Database,62.319658,29.649202,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-30
Suomi,Finnish Insect Database,65.036919,25.436068,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-30
Suomi,Finnish Insect Database,61.877303,28.992982,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-30
Suomi,Finnish Insect Database,61.877303,28.992982,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-30
Suomi,Finnish Insect Database,62.958528,28.671972,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-30
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.358134,25.721545,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-29 [14:55-17:05]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.188843,24.673159,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-29 [12:55-14:15]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.188843,24.673159,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-29 [12:55-14:15]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.34261,23.763892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-29 [11:45-13:32]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.34261,23.763892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-29 [11:45-13:32]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.34261,23.763892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-29 [11:45-13:32]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.34261,23.763892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-29 [11:45-13:32]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.34261,23.763892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-29 [11:45-13:32]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.34261,23.763892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-29 [11:45-13:32]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.549439,25.182707,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-29 [11:50-13:40]
Suomi,Finnish Insect Database,60.188641,24.671548,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-29
Suomi,Finnish Insect Database,62.964285,28.080889,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-29
